offset,x,y,z,lat,lon
15000,257234.65,-1551011.0,2694.4753,75.56042702416842,-35.58322958056464
15020,257216.54,-1551002.6,2694.5516,75.56052929841994,-35.583830589914044
15040,257198.42,-1550994.2,2694.6281,75.56063158599369,-35.58443196739112
15060,257180.31,-1550985.8,2694.7558,75.56073385714326,-35.58503299394585
15080,257162.19,-1550977.4,2694.8835,75.5608361416131,-35.585634388634766
15100,257144.08,-1550968.9,2695.0112,75.56093930654043,-35.586234836299205
15120,257125.96,-1550960.5,2695.1389,75.561041587908,-35.58683624823363
15140,257107.84,-1550952.1,2695.2568,75.561143867723,-35.58743766877576
15160,257089.73,-1550943.7,2695.3703,75.5612461311184,-35.5880387383798
15180,257071.61,-1550935.2,2695.4837,75.56134930471605,-35.58863958017225
15200,257053.5,-1550926.8,2695.5972,75.56145156501073,-35.589240667015815
15220,257035.38,-1550918.4,2695.7188,75.56155383861889,-35.58984212201636
15240,257017.27,-1550910.0,2695.8484,75.56165609581099,-35.5904432260662
15260,256999.15,-1550901.5,2695.9852,75.56175926320851,-35.591044102451285
15280,256981.04,-1550893.1,2696.1229,75.56186151729966,-35.591645223741075
15300,256962.92,-1550884.7,2696.2606,75.56196378470038,-35.59224671320088
15320,256944.8,-1550876.3,2696.3983,75.56206605054825,-35.592848211268844
15340,256926.69,-1550867.9,2696.5209,75.5621682999846,-35.593449358370364
15360,256908.57,-1550859.4,2696.6418,75.56227145963024,-35.5940502779907
15380,256890.46,-1550851.0,2696.7626,75.56237370596529,-35.59465144233271
15400,256872.34,-1550842.6,2696.8835,75.56247596560502,-35.59525297486099
15420,256854.23,-1550834.2,2697.0214,75.56257820883683,-35.59585415641022
15440,256836.11,-1550825.7,2697.1656,75.56268136228108,-35.59645511062513
15460,256817.99,-1550817.3,2697.3099,75.56278361726432,-35.59705666900918
15480,256799.88,-1550808.9,2697.4542,75.56288585584235,-35.5976578764047
15500,256781.76,-1550800.5,2697.5786,75.56298810772023,-35.598259452002786
15520,256763.65,-1550792.1,2697.6984,75.5630903431947,-35.598860676606066
15540,256745.53,-1550783.6,2697.8182,75.56319348888552,-35.59946167405866
15560,256727.42,-1550775.2,2697.9378,75.56329572125804,-35.60006291590338
15580,256709.3,-1550766.8,2698.0566,75.56339796692653,-35.600664525963666
15600,256691.18,-1550758.4,2698.1754,75.56350021104166,-35.601266144632866
15620,256673.07,-1550749.9,2698.2942,75.56360333568337,-35.60186681706566
15640,256654.95,-1550741.5,2698.4109,75.5637055766944,-35.60246845298313
15660,256636.84,-1550733.1,2698.5273,75.56380780130836,-35.60306973788375
15680,256618.72,-1550724.7,2698.6436,75.56391003921341,-35.603671391016206
15700,256600.61,-1550716.2,2698.5179,75.56401315765565,-35.60427209803357
15720,256582.49,-1550707.8,2698.8066,75.5641153924563,-35.60487376841473
15740,256564.38,-1550699.4,2698.9155,75.56421761086351,-35.60547508776642
15760,256546.26,-1550691.0,2698.9953,75.56431984255791,-35.60607677536299
15780,256528.14,-1550682.6,2699.0751,75.56442207269862,-35.606678471568934
15800,256510.03,-1550674.1,2699.1548,75.56452518338983,-35.60727922181147
15820,256491.91,-1550665.7,2699.2346,75.56462741042583,-35.607880935266635
15840,256473.8,-1550657.3,2699.3363,75.56472962107289,-35.6084822976766
15860,256455.68,-1550648.9,2699.4513,75.56483184500226,-35.609084028347695
15880,256437.57,-1550640.4,2699.5662,75.56493494949274,-35.60968481317672
15900,256419.45,-1550632.0,2699.6812,75.5650371703171,-35.610286561097475
15920,256401.33,-1550623.6,2699.7961,75.56513938958756,-35.610888317627975
15940,256383.22,-1550615.2,2699.9111,75.56524159247358,-35.61148972309752
15960,256365.1,-1550606.7,2700.0131,75.56534470559232,-35.61209090218788
15980,256346.99,-1550598.3,2700.0907,75.56544690537493,-35.61269232490108
16000,256328.87,-1550589.9,2700.1683,75.56554911843305,-35.61329411589821
16020,256310.76,-1550581.5,2700.2459,75.56565131511036,-35.61389555582179
16040,256292.64,-1550573.1,2700.3235,75.56575352506124,-35.614497364035785
16060,256274.53,-1550564.6,2700.401,75.5658566155971,-35.61509822668084
16080,256256.41,-1550556.2,2700.4961,75.56595882244234,-35.61570005214544
16100,256238.29,-1550547.8,2700.6044,75.56606102773334,-35.61630188622026
16120,256220.18,-1550539.4,2700.7127,75.56616321664806,-35.61690336920577
16140,256202.06,-1550530.9,2700.8211,75.56626631580248,-35.61750462614292
16160,256183.95,-1550522.5,2700.9294,75.56636850161314,-35.61810612637304
16180,256165.83,-1550514.1,2701.0377,75.56647070069054,-35.61870799491639
16200,256147.72,-1550505.7,2701.1145,75.56657288339528,-35.61930951235783
16220,256129.6,-1550497.3,2701.2199,75.56667507936481,-35.61991139811898
16240,256111.48,-1550488.8,2701.3253,75.56677817075965,-35.6205126983032
16260,256093.37,-1550480.4,2701.4391,75.56688034880649,-35.62111424159711
16280,256075.25,-1550472.0,2701.5578,75.5669825401152,-35.62171615322051
16300,256057.14,-1550463.6,2701.6765,75.56708471505577,-35.622317713726254
16320,256039.02,-1550455.1,2701.7953,75.56718780024302,-35.62291904851451
16340,256020.91,-1550446.7,2701.914,75.56728997207891,-35.62352062626582
16360,256002.79,-1550438.3,2702.0362,75.56739215717278,-35.62412257235963
16380,255984.67,-1550429.9,2702.1629,75.56749434071193,-35.62472452706439
16400,255966.56,-1550421.4,2702.2896,75.5675974048812,-35.62532553671634
16420,255948.44,-1550413.0,2702.4163,75.56769958531352,-35.6259275086735
16440,255930.33,-1550404.6,2702.543,75.56780174938402,-35.62652912949095
16460,255912.21,-1550396.2,2702.6827,75.5679039267076,-35.62713111866717
16480,255894.1,-1550387.8,2702.8508,75.56800608767117,-35.62773275669739
16500,255875.98,-1550379.3,2703.019,75.56810915888842,-35.62833416934111
16520,255857.87,-1550370.9,2703.1872,75.56821131674667,-35.62893582461784
16540,255839.75,-1550362.5,2703.3554,75.56831348785416,-35.62953784826637
16560,255821.63,-1550354.1,2703.5225,75.5684156574066,-35.6301398805263
16580,255803.52,-1550345.6,2703.6798,75.56851870761307,-35.63074096800684
16600,255785.4,-1550337.2,2703.8372,75.56862087405806,-35.631343017520116
16620,255767.29,-1550328.8,2703.9946,75.56872302414934,-35.63194471586535
16640,255749.17,-1550320.4,2704.1519,75.56882518748498,-35.63254678259864
16660,255731.06,-1550312.0,2704.3093,75.56892733446873,-35.63314849815758
16680,255712.94,-1550303.5,2704.6396,75.56903039171311,-35.63374998866111
16700,255694.82,-1550295.1,2704.8074,75.56913255038573,-35.63435208125995
16720,255676.71,-1550286.7,2704.9751,75.56923469270916,-35.63495382267499
16740,255658.59,-1550278.3,2705.1429,75.56933684827209,-35.63555593249435
16760,255640.48,-1550269.8,2705.3063,75.56943988451287,-35.63615709780779
16780,255622.36,-1550261.4,2705.4668,75.5695420369677,-35.63675922488145
16800,255604.25,-1550253.0,2705.6272,75.56964417307695,-35.63736100075871
16820,255586.13,-1550244.6,2705.7877,75.56974632242178,-35.6379631450533
16840,255568.01,-1550236.1,2705.9481,75.56984936724335,-35.638564704778396
16860,255549.9,-1550227.7,2706.1114,75.56995149869157,-35.63916650651286
16880,255531.78,-1550219.3,2706.2754,75.57005364337243,-35.63976867667442
16900,255513.67,-1550210.9,2706.4393,75.57015577171225,-35.64037049562384
16920,255495.55,-1550202.5,2706.6033,75.57025791328279,-35.640972683006865
16940,255477.44,-1550194.0,2706.7673,75.57036093555507,-35.64157392615755
16960,255459.32,-1550185.6,2706.9299,75.57046307401689,-35.64217613079581
16980,255441.21,-1550177.2,2707.0767,75.57056519614127,-35.642777984209346
17000,255423.09,-1550168.8,2707.2234,75.57066733149246,-35.64338020606947
17020,255404.97,-1550160.3,2707.3701,75.57077036233581,-35.64398184366255
17040,255386.86,-1550151.9,2707.5168,75.5708724797982,-35.64458372293469
17060,255368.74,-1550143.5,2707.6636,75.57097461048448,-35.645185970663206
17080,255350.63,-1550135.1,2707.8117,75.57107672483787,-35.64578786715125
17100,255332.51,-1550126.6,2707.9678,75.57117974946816,-35.64638953935671
17120,255314.4,-1550118.2,2708.1238,75.57128186071412,-35.64699145309442
17140,255296.28,-1550109.8,2708.2654,75.57138398518008,-35.64759373530151
17160,255278.16,-1550101.4,2708.5006,75.57148610808996,-35.64819602612159
17180,255260.05,-1550093.0,2708.6302,75.57158821467146,-35.648797965685446
17200,255241.93,-1550084.5,2708.7598,75.57169123153373,-35.649399681150825
17220,255223.82,-1550076.1,2708.892,75.57179333500747,-35.650001637964884
17240,255205.7,-1550067.7,2709.0247,75.57189545169634,-35.65060396326458
17260,255187.59,-1550059.3,2709.1574,75.57199755206041,-35.651205937295465
17280,255169.47,-1550050.8,2709.2901,75.57210056270839,-35.651807687375154
17300,255151.35,-1550042.4,2709.4227,75.57220267473107,-35.65241003854512
17320,255133.24,-1550034.0,2709.5333,75.5723047704317,-35.65301203843682
